epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,406.041,1.21275,0.92346,1.08187,0.80746,0.634,0.73777,0.44065,1.47915,1.04667,1.22944,0.000447796,0.000447796,0.000447796
43,414.893,1.20528,0.92159,1.07745,0.78365,0.65622,0.74035,0.44573,1.46483,1.06032,1.22952,0.000436547,0.000436547,0.000436547
44,424.881,1.1675,0.88007,1.05881,0.78905,0.67076,0.74193,0.4492,1.49327,1.07101,1.24737,0.000425298,0.000425298,0.000425298
45,434.781,1.17822,0.88741,1.06901,0.82413,0.68329,0.76496,0.46058,1.51596,1.03406,1.2593,0.000414049,0.000414049,0.000414049
46,444.511,1.18285,0.89203,1.06546,0.78413,0.70613,0.75981,0.46113,1.48671,1.05544,1.24053,0.000402801,0.000402801,0.000402801
47,453.644,1.14596,0.85894,1.04649,0.79511,0.69877,0.7687,0.46526,1.47675,1.03526,1.22852,0.000391552,0.000391552,0.000391552
48,463.335,1.10991,0.84169,1.04817,0.76364,0.71564,0.77202,0.46151,1.46983,1.01309,1.22447,0.000380303,0.000380303,0.000380303
49,473.415,1.182,0.85533,1.0665,0.82529,0.65996,0.75538,0.45106,1.45503,1.02391,1.21765,0.000369054,0.000369054,0.000369054
50,482.681,1.12883,0.84192,1.05319,0.76261,0.67723,0.75289,0.43951,1.46516,1.03648,1.2366,0.000357805,0.000357805,0.000357805
51,492.155,1.13893,0.83962,1.0561,0.77194,0.71054,0.75756,0.44876,1.46725,1.02742,1.2311,0.000346556,0.000346556,0.000346556
52,502.312,1.14352,0.8419,1.04643,0.7896,0.70598,0.75575,0.44993,1.46771,1.02649,1.22234,0.000335307,0.000335307,0.000335307
53,512.187,1.15363,0.83843,1.05613,0.76858,0.70189,0.76042,0.45655,1.4559,1.0132,1.22106,0.000324058,0.000324058,0.000324058
54,521.786,1.12112,0.79393,1.04405,0.79121,0.65377,0.75241,0.46956,1.45772,1.04623,1.21174,0.00031281,0.00031281,0.00031281
55,531.283,1.1202,0.80402,1.04161,0.82439,0.66034,0.7529,0.45705,1.4612,1.02728,1.22163,0.000301561,0.000301561,0.000301561
56,540.757,1.11445,0.80874,1.04863,0.79358,0.66785,0.75219,0.4586,1.4661,0.99995,1.23238,0.000290312,0.000290312,0.000290312
57,550.732,1.1266,0.80052,1.04666,0.8034,0.65836,0.74202,0.44702,1.4811,1.02373,1.23532,0.000279063,0.000279063,0.000279063
58,559.715,1.08413,0.77856,1.03459,0.78068,0.70074,0.75802,0.45003,1.47369,0.99316,1.22758,0.000267814,0.000267814,0.000267814
59,569.289,1.1027,0.78066,1.03832,0.77545,0.69642,0.75616,0.45521,1.46408,0.98388,1.23044,0.000256565,0.000256565,0.000256565
60,579.037,1.08613,0.76335,1.03833,0.77343,0.70052,0.756,0.45481,1.47262,1.0033,1.23501,0.000245316,0.000245316,0.000245316
61,588.726,1.09251,0.77728,1.03288,0.80397,0.66737,0.76906,0.46028,1.46571,1.00886,1.22606,0.000234068,0.000234068,0.000234068
62,597.594,1.06602,0.75412,1.02925,0.79102,0.6724,0.76527,0.46622,1.47344,0.99814,1.22274,0.000222819,0.000222819,0.000222819
63,607.306,1.10897,0.76647,1.03093,0.79341,0.66952,0.7609,0.46393,1.45371,1.00458,1.21811,0.00021157,0.00021157,0.00021157
64,616.994,1.097,0.76583,1.02624,0.79342,0.70896,0.77053,0.4648,1.45478,0.973,1.22048,0.000200321,0.000200321,0.000200321
65,626.609,1.0963,0.76098,1.03039,0.82712,0.683,0.7762,0.4634,1.46607,0.98094,1.22576,0.000189072,0.000189072,0.000189072
66,635.896,1.03808,0.72752,1.00947,0.82655,0.69642,0.77986,0.47004,1.46351,0.96898,1.22994,0.000177823,0.000177823,0.000177823
67,645.598,1.0736,0.74061,1.02661,0.8213,0.67576,0.76367,0.46237,1.47177,0.97186,1.23281,0.000166574,0.000166574,0.000166574
68,655.241,1.06877,0.74647,1.01928,0.81176,0.67575,0.76086,0.45941,1.46858,0.97653,1.23545,0.000155325,0.000155325,0.000155325
69,663.986,1.03438,0.71993,1.01064,0.8198,0.66788,0.75976,0.46028,1.46092,0.97469,1.22941,0.000144077,0.000144077,0.000144077
70,673.797,1.02782,0.71705,1.00759,0.80099,0.67887,0.76271,0.4709,1.45511,0.96758,1.22501,0.000132828,0.000132828,0.000132828
71,686.418,1.01962,0.72953,0.99137,0.76541,0.69048,0.75248,0.46313,1.48678,1.04793,1.24827,0.000121579,0.000121579,0.000121579
72,695.933,1.01701,0.70639,0.98825,0.70766,0.73343,0.76271,0.46226,1.48315,0.98718,1.2484,0.00011033,0.00011033,0.00011033
73,704.871,0.99895,0.68464,0.98032,0.77523,0.68545,0.76016,0.46138,1.47797,0.97409,1.24672,9.9081e-05,9.9081e-05,9.9081e-05
74,713.715,0.98088,0.6777,0.97699,0.82227,0.67181,0.76061,0.46553,1.46242,0.97067,1.23789,8.78321e-05,8.78321e-05,8.78321e-05
75,723.202,0.98062,0.66258,0.97578,0.81673,0.67521,0.77128,0.46587,1.45777,0.96884,1.2337,7.65832e-05,7.65832e-05,7.65832e-05
76,732.545,0.98275,0.6517,0.97106,0.79292,0.68936,0.77052,0.47158,1.46076,0.97174,1.23451,6.53344e-05,6.53344e-05,6.53344e-05
77,741.299,0.97932,0.65206,0.98213,0.79521,0.68905,0.76984,0.47188,1.46102,0.96888,1.23197,5.40855e-05,5.40855e-05,5.40855e-05
78,750.627,0.96958,0.6343,0.97435,0.79383,0.6981,0.7719,0.47657,1.45529,0.9644,1.22875,4.28366e-05,4.28366e-05,4.28366e-05
79,760.048,0.95304,0.62123,0.96488,0.80235,0.67894,0.7697,0.47676,1.45356,0.97322,1.22883,3.15878e-05,3.15878e-05,3.15878e-05
80,769.085,0.98037,0.65741,0.97866,0.79587,0.68545,0.76619,0.47482,1.45843,0.97596,1.2322,2.03389e-05,2.03389e-05,2.03389e-05
